  Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005  586.169  586.169 <string>:1(<module>)
        1    0.115    0.115  576.408  576.408 <string>:143(totalPlaces)
        1    0.122    0.122  575.534  575.534 <string>:149(frsqrStatAll)
      856    0.456    0.001  573.728    0.670 <string>:158(frsqrStat)
      237    0.047    0.000    0.753    0.003 <string>:221(parsePlaces)
        1    0.000    0.000    3.857    3.857 <string>:310(verifyGeoJson)
        1    0.001    0.001  586.163  586.163 <string>:48(collectData)
        2    0.000    0.000    0.000    0.000 <string>:8(__new__)
       11    0.000    0.000    0.000    0.000 Queue.py:107(put)
        1    0.000    0.000    0.000    0.000 Queue.py:150(get)
        1    0.000    0.000    0.000    0.000 Queue.py:234(_init)
       12    0.000    0.000    0.000    0.000 Queue.py:237(_qsize)
       11    0.000    0.000    0.000    0.000 Queue.py:240(_put)
        1    0.000    0.000    0.000    0.000 Queue.py:243(_get)
        1    0.000    0.000    0.000    0.000 Queue.py:26(__init__)
        2    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
       14    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       16    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:1127(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(info)
        2    0.000    0.000    0.000    0.000 __init__.py:1328(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1342(isEnabledFor)
     5850    0.159    0.000   33.916    0.006 __init__.py:193(dumps)
     1095    0.005    0.000    2.378    0.002 __init__.py:293(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:434(loads)
        2    0.000    0.000    0.000    0.000 _abcoll.py:360(get)
        3    0.000    0.000    0.000    0.000 _abcoll.py:367(__contains__)
        5    0.000    0.000    0.000    0.000 _abcoll.py:384(iteritems)
        1    0.000    0.000    0.000    0.000 _abcoll.py:393(items)
        7    0.000    0.000    0.000    0.000 _abcoll.py:526(update)
        2    0.000    0.000    0.000    0.000 _collections.py:38(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:45(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:52(__setitem__)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
